source,target,weight
blow,spray,0.6987882852554321
blow,burst,0.6875337958335876
blow,explosion,0.6774814128875732
blow,shout,0.6608742475509644
blow,punch,0.6415941715240479
blow,fall,0.6382615566253662
blow,fall,0.6382614374160767
blow,rip,0.6353974342346191
blow,chill,0.6324354410171509
blow,chill,0.6324354410171509
blow,spark,0.630179762840271
blow,bomb,0.6270595788955688
blow,stir,0.621827244758606
blow,bang,0.6209347248077393
blow,bang,0.6209346055984497
blow,air,0.6155002117156982
blow,air,0.6155002117156982
want,wanna,0.8806537389755249
want,desire,0.8530613780021667
want,wish,0.8267369270324707
want,wish,0.8267369270324707
want,urge,0.8129168152809143
want,ask,0.8051818609237671
want,quest,0.789897620677948
want,request,0.7802296280860901
want,request,0.7802295684814453
want,interested,0.7765978574752808
want,seek,0.7720791697502136
want,need,0.7714300155639648
want,need,0.7714300155639648
want,vol,0.7627441883087158
want,estimate,0.7612717747688293
want,estimate,0.7612717747688293
want,tran,0.7611009478569031
want,pour,0.7596290111541748
want,till,0.7593933939933777
want,ali,0.7588033676147461
play,game,0.8153425455093384
play,game,0.8153425455093384
play,games,0.7494745254516602
play,entertain,0.71394282579422
play,player,0.7021642327308655
play,action,0.6963980197906494
play,behave,0.6707046627998352
play,fixture,0.669892430305481
play,act,0.6684917211532593
play,act,0.6684916019439697
play,throw,0.666638970375061
play,v,0.6604331731796265
play,toss,0.6597683429718018
play,dance,0.6596105098724365
play,dance,0.6596105098724365
play,involve,0.6593431234359741
play,die,0.6588719487190247
play,perform,0.6549568176269531
play,to,0.6528352499008179
play,mat,0.6522848606109619
find,finding,0.9623734951019287
find,found,0.872958779335022
find,discover,0.8713495135307312
find,search,0.859246015548706
find,search,0.8592459559440613
find,locate,0.8590198755264282
find,uncover,0.8290662169456482
find,determine,0.7527645826339722
find,discovery,0.7471441030502319
find,hunt,0.7004826068878174
find,hunt,0.7004824876785278
find,explore,0.6903085708618164
find,explore,0.6903085708618164
find,identify,0.6741173267364502
find,quest,0.6720259189605713
find,wander,0.6691730618476868
find,seek,0.6664334535598755
find,trace,0.6319403648376465
find,trace,0.6319403648376465
find,look,0.6279053688049316
start,startle,0.9399360418319702
start,begin,0.9179612994194031
start,beginner,0.8431082963943481
start,debut,0.8351666331291199
start,initiate,0.831708550453186
start,launch,0.805896520614624
start,launch,0.8058964610099792
start,initially,0.8057609796524048
start,initial,0.8054954409599304
start,first,0.7219967842102051
start,preparation,0.7099060416221619
start,immediately,0.6989993453025818
start,introduce,0.67298424243927
start,early,0.6488401889801025
start,introduction,0.6432461142539978
start,establish,0.6201618313789368
start,originate,0.6190094947814941
start,newly,0.6181514263153076
start,1st,0.6112544536590576
start,ready,0.6105424761772156
feel,feeling,0.9734273552894592
feel,sentiment,0.7554643154144287
feel,sensation,0.7484973669052124
feel,emotion,0.7228813171386719
feel,emotional,0.7143139243125916
feel,sense,0.7080227136611938
feel,sense,0.7080227136611938
feel,seem,0.6593018770217896
feel,hear,0.6588249206542969
feel,mood,0.6550984382629395
feel,see,0.6391504406929016
feel,psychological,0.6332104206085205
feel,perception,0.6327345371246338
feel,excite,0.6266173124313354
feel,understand,0.6208226680755615
feel,suffer,0.6125991344451904
feel,tempt,0.6092936992645264
feel,love,0.6091583967208862
feel,love,0.6091583967208862
feel,though,0.6055632829666138
mean,denote,0.8051772713661194
mean,necessarily,0.7885853052139282
mean,definition,0.7883710861206055
mean,define,0.7829647660255432
mean,such,0.7708544731140137
mean,sense,0.7673816084861755
mean,sense,0.7673815488815308
mean,imply,0.7448780536651611
mean,far,0.7425764203071594
mean,basically,0.7417198419570923
mean,latter,0.7410988807678223
mean,truly,0.7356975078582764
mean,sin,0.7322670817375183
mean,to,0.7316861748695374
mean,suppose,0.7311153411865234
mean,era,0.7295287847518921
mean,essentially,0.7287696599960327
mean,male,0.7287629842758179
mean,ah,0.7278586030006409
mean,really,0.7278319001197815
tell,inform,0.8342709541320801
tell,know,0.8232460021972656
tell,reveal,0.76673424243927
